"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3049","При добавлении ингредиента увеличивается каунтер","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","2851","Ввод почты и клик по кнопке Восстановить","tests","2026-02-20","passed","2026-02-20","TestPasswordRecovery","Восстановление пароля","",""
"","5349","Переход по клику на «Личный кабинет»","tests","2026-02-20","passed","2026-02-20","TestPersonalAccount","test_personal_account","",""
"","5085","Клик по заказу открывает модальное окно","tests","2026-02-20","passed","2026-02-20","TestOrderFeed","Лента заказов","",""
"","6161","Выход из аккаунта","tests","2026-02-20","passed","2026-02-20","TestPersonalAccount","test_personal_account","",""
"","10917","Переход в раздел «История заказов»","tests","2026-02-20","passed","2026-02-20","TestPersonalAccount","test_personal_account","",""
"","5011","Выход из аккаунта","tests","2026-02-20","passed","2026-02-20","TestPersonalAccount","test_personal_account","",""
"","3026","Каунтер ингредиента (не булка) увеличивается до 1","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","2794","Ввод почты и клик по кнопке Восстановить","tests","2026-02-20","passed","2026-02-20","TestPasswordRecovery","Восстановление пароля","",""
"","5800","Залогиненный пользователь может оформить заказ","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","2784","Клик по ингредиенту открывает окно с деталями","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","13801","Залогиненный пользователь может оформить заказ","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","3663","При добавлении ингредиента увеличивается каунтер","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","3222","Клик по заказу открывает модальное окно","tests","2026-02-20","passed","2026-02-20","TestOrderFeed","Лента заказов","",""
"","2024","Переход на страницу восстановления пароля","tests","2026-02-20","passed","2026-02-20","TestPasswordRecovery","Восстановление пароля","",""
"","6629","Переход по клику на «Лента заказов»","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","6178","Переход по клику на «Личный кабинет»","tests","2026-02-20","passed","2026-02-20","TestPersonalAccount","test_personal_account","",""
"","3927","Переход в раздел «История заказов»","tests","2026-02-20","passed","2026-02-20","TestPersonalAccount","test_personal_account","",""
"","2480","Каунтер булки увеличивается до 2","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","2634","Каунтер ингредиента (не булка) после двух добавлений равен 2","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","21199","Окно деталей ингредиента закрывается по крестику","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","3889","Переход по клику на «Конструктор»","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","2448","Каунтер ингредиента (не булка) после двух добавлений равен 2","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","2804","Переход на страницу восстановления пароля","tests","2026-02-20","passed","2026-02-20","TestPasswordRecovery","Восстановление пароля","",""
"","3608","Кнопка показать/скрыть пароль делает поле активным","tests","2026-02-20","passed","2026-02-20","TestPasswordRecovery","Восстановление пароля","",""
"","3289","Клик по ингредиенту открывает окно с деталями","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","5548","Переход по клику на «Конструктор»","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","19908","Окно деталей ингредиента закрывается по крестику","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","4875","Кнопка показать/скрыть пароль делает поле активным","tests","2026-02-20","passed","2026-02-20","TestPasswordRecovery","Восстановление пароля","",""
"","5408","Переход по клику на «Лента заказов»","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","2675","Каунтер булки увеличивается до 2","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
"","3216","Каунтер ингредиента (не булка) увеличивается до 1","tests","2026-02-20","passed","2026-02-20","TestMainFunctionality","test_main_functionality","",""
